title                    	CLASS	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
lcl|U00096.3_cds_AAC75115	HOST	0.3709	0.2715	0.2823	0.3158	0.167	-0.059	0.387	56.95	0.458	0.495	168	173	-0.702312	0.098266
lcl|U00096.3_cds_AAC75116	HOST	0.2589	0.2284	0.3708	0.3758	0.168	-0.037	0.385	61	0.471	0.462	221	241	0.066805	0.120332
lcl|U00096.3_cds_AAC75117	HOST	0.3447	0.205	0.393	0.2991	0.146	-0.145	0.316	54.78	0.391	0.433	348	377	0.253581	0.161804
lcl|U00096.3_cds_AAC75118	HOST	0.1807	0.3283	0.3077	0.3579	0.156	0.074	0.45	51.22	0.575	0.546	358	392	-0.058163	0.096939
lcl|U00096.3_cds_AAC75119	HOST	0.4264	0.2248	0.3009	0.2566	0.195	0.074	0.469	51.13	0.395	0.561	147	155	-1.145806	0.109677
lcl|U00096.3_cds_AAC75120	HOST	0.2377	0.3033	0.3382	0.2932	0.151	-0.058	0.395	57.42	0.504	0.525	258	270	-0.436296	0.059259
lcl|U00096.3_cds_AAC75121	HOST	0.1522	0.2938	0.3259	0.3937	0.125	-0.036	0.377	53.46	0.583	0.543	628	673	-0.357801	0.069837
lcl|U00096.3_cds_AAC75122	HOST	0.2126	0.3307	0.2252	0.4272	0.166	0.028	0.428	53.36	0.623	0.555	138	143	-0.11958	0.076923
lcl|U00096.3_cds_AAC75123	HOST	0.3633	0.2765	0.3469	0.2319	0.168	-0.025	0.404	57.27	0.415	0.558	354	356	-1.223315	0.05618
lcl|U00096.3_cds_AAC75124	HOST	0.179	0.3484	0.2827	0.358	0.165	0.088	0.457	52.45	0.6	0.547	453	501	-0.122754	0.111776
lcl|U00096.3_cds_AAC75125	HOST	0.1742	0.377	0.2621	0.3864	0.178	0.123	0.479	50.95	0.629	0.543	536	576	-0.275868	0.078125
lcl|U00096.3_cds_AAC75126	HOST	0.1711	0.3816	0.1736	0.4118	0.179	0.117	0.473	44.68	0.691	0.621	165	184	-0.175544	0.103261
lcl|U00096.3_cds_AAC75127	HOST	0.3873	0.2197	0.3793	0.2391	0.166	-0.029	0.409	57.2	0.368	0.511	193	195	-0.855897	0.102564
lcl|U00096.3_cds_AAC75128	HOST	0.418	0.2444	0.3011	0.2227	0.214	0.038	0.452	53.9	0.389	0.541	1026	1044	-0.616188	0.096743
lcl|U00096.3_cds_AAC75129	HOST	0.2453	0.3491	0.2073	0.3898	0.16	0.139	0.485	55.13	0.609	0.578	235	262	-0.287405	0.10687
lcl|U00096.3_cds_AAC75130	HOST	0.343	0.2612	0.3043	0.2382	0.19	0.097	0.484	56.68	0.434	0.581	415	424	-0.754009	0.075472
lcl|U00096.3_cds_AAC75131	HOST	0.3516	0.2985	0.3224	0.2123	0.198	0.021	0.444	54.32	0.43	0.524	595	614	-0.554397	0.118893
lcl|U00096.3_cds_AAC75132	HOST	0.25	0.1518	0.4017	0.4272	0.106	-0.156	0.301	53.78	0.449	0.427	136	143	-0.024476	0.06993
lcl|U00096.3_cds_AAC75133	HOST	0.2474	0.2784	0.2711	0.414	0.14	-0.033	0.377	55.15	0.561	0.536	212	242	-0.289669	0.115702
lcl|U00096.3_cds_AAC75134	HOST	0.3514	0.3189	0.2778	0.2643	0.192	0.01	0.443	61	0.478	0.534	201	204	-0.270098	0.137255
lcl|U00096.3_cds_ACO59999	HOST	0.3077	0.3077	0.2727	0.1818	0.185	0.182	0.538	*****	0.462	0.452	13	14	-0.285714	0.214286
lcl|U00096.3_cds_ACO60000	HOST	0.3077	0.3077	0.2727	0.1818	0.289	0.294	0.615	*****	0.462	0.524	13	14	-0.142857	0.142857
lcl|U00096.3_cds_AAC75135	HOST	0.3138	0.3167	0.3258	0.2244	0.2	0.144	0.51	49.8	0.458	0.576	384	391	-1.307417	0.074169
lcl|U00096.3_cds_AAC75136	HOST	0.4059	0.3069	0.2746	0.191	0.219	0.084	0.475	52.92	0.422	0.578	999	1009	-0.896333	0.076313
lcl|U00096.3_cds_AAC75137	HOST	0.4025	0.2977	0.2801	0.1961	0.221	0.081	0.479	51.05	0.419	0.574	977	997	-0.750151	0.091274
lcl|U00096.3_cds_AAC75138	HOST	0.22	0.357	0.1479	0.4252	0.271	0.232	0.529	47.61	0.669	0.556	435	471	0.796815	0.093418
lcl|U00096.3_cds_AAC75139	HOST	0.3705	0.2565	0.3015	0.2646	0.201	0.057	0.469	50.73	0.431	0.555	429	442	-0.634842	0.115385
lcl|U00096.3_cds_AAC75140	HOST	0.1823	0.3958	0.2471	0.3625	0.212	0.111	0.488	53.46	0.635	0.556	211	226	-0.060619	0.084071
lcl|U00096.3_cds_AAC75141	HOST	0.1954	0.1954	0.4211	0.3333	0.143	-0.077	0.34	53.38	0.447	0.492	103	107	-0.293458	0.018692
lcl|U00096.3_cds_AAC75142	HOST	0.1753	0.3205	0.2648	0.3879	0.145	0.007	0.409	53.85	0.608	0.552	403	432	-0.158796	0.060185
lcl|U00096.3_cds_AAC75143	HOST	0.2833	0.35	0.2807	0.2453	0.189	-0.03	0.403	61	0.507	0.524	67	70	-0.222857	0.042857
lcl|U00096.3_cds_2070_[ge	HOST	0.2982	0.3158	0.2593	0.4	0.248	-0.042	0.406	60.6	0.551	0.486	69	70	-0.324286	0.1
lcl|U00096.3_cds_AAC75146	HOST	0.3867	0.2667	0.4464	0.2708	0.169	-0.119	0.379	48.17	0.379	0.394	87	93	-0.582796	0.182796
lcl|U00096.3_cds_AAC75147	HOST	0.372	0.268	0.2716	0.3235	0.249	0.033	0.433	49.88	0.46	0.498	289	299	0.029766	0.050167
lcl|U00096.3_cds_2073_[ge	HOST	0.4078	0.2961	0.3464	0.2098	0.206	0.092	0.491	52.75	0.399	0.495	228	235	-1.060425	0.13617
lcl|U00096.3_cds_AAC75149	HOST	0.1625	0.4	0.338	0.3188	0.209	0.115	0.473	50.53	0.593	0.507	91	96	-0.607292	0.052083
lcl|U00096.3_cds_AAC75150	HOST	0.2383	0.3447	0.2544	0.3192	0.167	0.011	0.426	57.39	0.567	0.564	263	278	-0.085252	0.046763
lcl|U00096.3_cds_AAC75152	HOST	0.219	0.2701	0.3004	0.4085	0.136	0.043	0.405	56	0.556	0.5	306	332	0.234337	0.081325
lcl|U00096.3_cds_2077_[ge	HOST	0.3482	0.2827	0.1676	0.4027	0.312	0.198	0.517	46.94	0.543	0.513	420	451	0.824168	0.086474
lcl|U00096.3_cds_AAC75154	HOST	0.4103	0.2308	0.4038	0.24	0.136	-0.269	0.289	57.39	0.361	0.444	83	87	-0.778161	0.183908
lcl|U00096.3_cds_AAC75155	HOST	0.3968	0.2619	0.4211	0.1364	0.182	-0.084	0.385	61	0.333	0.451	135	136	-0.396324	0.110294
lcl|U00096.3_cds_AAC75156	HOST	0.3296	0.2687	0.3841	0.2279	0.161	-0.057	0.398	53.83	0.409	0.505	389	396	-0.47803	0.075758
lcl|U00096.3_cds_AAC75157	HOST	0.1875	0.2902	0.2961	0.4355	0.14	0.03	0.422	54.13	0.586	0.539	249	277	-0.317689	0.101083
lcl|U00096.3_cds_AAC75158	HOST	0.3287	0.2902	0.3583	0.2222	0.163	0.054	0.448	54.65	0.429	0.542	315	322	-0.751553	0.090062
lcl|U00096.3_cds_AAC75159	HOST	0.4597	0.2688	0.2454	0.2226	0.196	0.039	0.431	48.85	0.401	0.517	397	408	-0.270588	0.112745
lcl|U00096.3_cds_AAC75160	HOST	0.1691	0.2698	0.2789	0.4492	0.14	0.095	0.443	50.41	0.607	0.567	298	323	-0.190093	0.089783
lcl|U00096.3_cds_AAC75161	HOST	0.3504	0.2774	0.2743	0.2566	0.164	0.02	0.434	49.8	0.454	0.585	295	309	-0.733333	0.084142
lcl|U00096.3_cds_AAC75162	HOST	0.351	0.2163	0.4114	0.2235	0.189	-0.014	0.43	58.02	0.364	0.534	228	231	-0.442424	0.103896
lcl|U00096.3_cds_AAC75163	HOST	0.3516	0.2877	0.2893	0.35	0.263	0.111	0.485	52.21	0.485	0.482	260	272	-0.348897	0.147059
lcl|U00096.3_cds_AAC75164	HOST	0.1773	0.3227	0.2576	0.4439	0.175	0.15	0.48	51.84	0.631	0.564	244	260	-0.251923	0.084615
lcl|U00096.3_cds_AAC75165	HOST	0.1863	0.2892	0.2474	0.4888	0.169	0.105	0.446	52.43	0.632	0.552	231	252	-0.186905	0.095238
lcl|U00096.3_cds_AAC75166	HOST	0.3906	0.2656	0.2603	0.3939	0.43	0.318	0.598	51.38	0.494	0.489	87	90	-0.292222	0.011111
lcl|U00096.3_cds_AAC75167	HOST	0.2907	0.4009	0.265	0.2542	0.275	0.085	0.467	47.24	0.533	0.517	255	274	0.284307	0.09854
lcl|U00096.3_cds_AAC75168	HOST	0.3516	0.3846	0.15	0.3611	0.308	0.107	0.495	45.54	0.581	0.503	105	112	-0.2375	0.125
lcl|U00096.3_cds_AAC75169	HOST	0.3798	0.3566	0.4	0.2102	0.213	0.02	0.456	50.06	0.42	0.41	307	319	-0.55047	0.15674
lcl|U00096.3_cds_AAC75170	HOST	0.3231	0.2649	0.3937	0.2616	0.165	-0.063	0.385	55.2	0.42	0.485	712	745	-0.422148	0.128859
lcl|U00096.3_cds_AAC75171	HOST	0.2298	0.2733	0.4785	0.2828	0.145	-0.029	0.385	53.75	0.425	0.409	200	221	0.077376	0.108597
lcl|U00096.3_cds_AAC75172	HOST	0.3723	0.3504	0.3367	0.2472	0.181	0.029	0.448	57.71	0.455	0.446	154	157	-0.375159	0.165605
lcl|U00096.3_cds_AAC75173	HOST	0.3378	0.3378	0.3393	0.2264	0.2	0.057	0.457	57.24	0.457	0.469	81	86	-0.395349	0.139535
lcl|U00096.3_cds_AAC75174	HOST	0.1592	0.3045	0.3235	0.4039	0.136	-0.005	0.403	52.46	0.588	0.554	325	353	-0.4983	0.093484
lcl|U00096.3_cds_AAC75175	HOST	0.204	0.296	0.2663	0.3862	0.165	0.063	0.443	58.82	0.584	0.543	601	647	-0.065533	0.061824
lcl|U00096.3_cds_2100_[ge	HOST	0.3324	0.317	0.3468	0.1908	0.194	0.098	0.481	53.57	0.428	0.521	1162	1190	-0.590252	0.069748
lcl|U00096.3_cds_AAC75179	HOST	0.3363	0.2821	0.3438	0.2109	0.193	0.061	0.459	54.95	0.419	0.529	1106	1127	-0.485981	0.075421
lcl|U00096.3_cds_ABD18687	HOST	0.2763	0.3553	0.2615	0.4286	0.223	0.113	0.472	57.02	0.573	0.409	89	97	-0.002062	0.134021
lcl|U00096.3_cds_AAC75180	HOST	0.3153	0.3121	0.3217	0.2341	0.187	0.122	0.496	56.9	0.463	0.563	339	344	-0.760756	0.098837
lcl|U00096.3_cds_AAC75181	HOST	0.193	0.3971	0.2187	0.3967	0.167	0.12	0.47	53.63	0.651	0.57	681	730	-0.258767	0.09863
lcl|U00096.3_cds_AAC75182	HOST	0.3628	0.2524	0.3118	0.2454	0.217	0.078	0.474	59.58	0.42	0.559	348	359	-0.788022	0.083565
lcl|U00096.3_cds_2106_[ge	HOST	0.3203	0.3259	0.2519	0.3141	0.271	0.15	0.497	48.72	0.522	0.543	638	665	-0.128872	0.064662
lcl|U00096.3_cds_AAC75184	HOST	0.4312	0.367	0.3033	0.2124	0.474	0.345	0.635	46.94	0.432	0.427	148	153	-0.145752	0.078431
lcl|U00096.3_cds_AAC75185	HOST	0.3858	0.2126	0.3694	0.2222	0.17	-0.027	0.418	52.52	0.362	0.525	141	144	-0.806944	0.090278
lcl|U00096.3_cds_AAC75186	HOST	0.4091	0.1768	0.3642	0.241	0.164	-0.058	0.397	51.01	0.342	0.516	219	223	-0.575785	0.089686
lcl|U00096.3_cds_AAC75187	HOST	0.3007	0.3246	0.2301	0.3778	0.244	0.131	0.483	51.79	0.556	0.506	538	561	0.174688	0.074866
lcl|U00096.3_cds_AAC75188	HOST	0.1553	0.4126	0.32	0.323	0.186	0.071	0.462	52.31	0.609	0.533	225	240	-0.0925	0.091667
lcl|U00096.3_cds_ABD18688	HOST	0.2414	0.1724	0.3462	0.44	0.159	0.03	0.406	61	0.5	0.515	32	33	1.166667	0.060606
lcl|U00096.3_cds_AAC75189	HOST	0.271	0.257	0.1659	0.4652	0.278	0.202	0.511	50.14	0.604	0.578	235	243	0.995473	0.08642
lcl|U00096.3_cds_AAC75190	HOST	0.3835	0.218	0.317	0.235	0.193	0.004	0.443	56.77	0.387	0.568	282	291	-0.478351	0.079038
lcl|U00096.3_cds_AAC75191	HOST	0.2602	0.2456	0.1397	0.5156	0.29	0.231	0.519	45.92	0.637	0.575	366	385	1.046494	0.088312
lcl|U00096.3_cds_AAC75192	HOST	0.1913	0.3043	0.2652	0.4332	0.17	0.134	0.483	50.96	0.61	0.553	269	294	-0.521429	0.071429
lcl|U00096.3_cds_AAC75193	HOST	0.3419	0.3016	0.3481	0.2136	0.178	0.07	0.466	56.56	0.428	0.568	701	713	-0.921178	0.060309
lcl|U00096.3_cds_AAC75194	HOST	0.3271	0.2396	0.4047	0.2043	0.149	-0.011	0.414	54.28	0.377	0.543	531	539	-0.742301	0.081633
lcl|U00096.3_cds_AAC75195	HOST	0.1833	0.2917	0.36	0.3756	0.117	0.019	0.39	56.39	0.535	0.527	269	289	-0.245329	0.072664
lcl|U00096.3_cds_AAC75196	HOST	0.4566	0.2312	0.2411	0.2071	0.235	0.186	0.516	43.35	0.379	0.546	182	190	-0.272632	0.110526
lcl|U00096.3_cds_AAC75197	HOST	0.4417	0.1963	0.3028	0.2158	0.256	0.122	0.497	49.52	0.35	0.553	177	188	-0.257979	0.12766
lcl|U00096.3_cds_AAC75198	HOST	0.3571	0.3095	0.3218	0.1988	0.196	0.034	0.461	57.8	0.43	0.57	230	238	-0.732353	0.105042
lcl|U00096.3_cds_2123_[ge	HOST	0.1794	0.3272	0.2676	0.3873	0.137	0.057	0.431	53.62	0.607	0.567	425	457	-0.474836	0.076586
lcl|U00096.3_cds_ACO60001	HOST	0.3636	0.1364	0.2857	0.4667	0.166	-0.085	0.292	61	0.417	0.358	24	27	2.466666	0.148148
lcl|U00096.3_cds_AAC75201	HOST	0.3008	0.3008	0.2097	0.4391	0.308	0.193	0.518	45.51	0.581	0.544	301	315	-0.164127	0.066667
lcl|U00096.3_cds_AAC75202	HOST	0.2692	0.3173	0.2785	0.3919	0.168	-0.067	0.384	53.13	0.554	0.511	112	122	0.120492	0.180328
lcl|U00096.3_cds_AAC75203	HOST	0.4498	0.3158	0.1742	0.2192	0.238	0.149	0.511	52.73	0.447	0.549	219	224	-0.54375	0.116071
lcl|U00096.3_cds_AAC75204	HOST	0.3052	0.3414	0.3272	0.2038	0.211	0.139	0.509	52.02	0.465	0.565	275	282	-0.515603	0.08156
lcl|U00096.3_cds_AAC75205	HOST	0.3737	0.303	0.2626	0.3006	0.283	0.111	0.465	51.52	0.474	0.478	230	239	0.014226	0.112971
lcl|U00096.3_cds_AAC75206	HOST	0.3438	0.2188	0.2778	0.4375	0.156	-0.008	0.417	39.13	0.486	0.436	72	78	0.275641	0.179487
lcl|U00096.3_cds_AAC75207	HOST	0.3208	0.2948	0.3263	0.2545	0.167	0.05	0.449	53.26	0.457	0.54	376	383	-0.92846	0.070496
lcl|U00096.3_cds_AAC75208	HOST	0.3382	0.2457	0.369	0.258	0.143	-0.036	0.401	57.28	0.414	0.53	382	391	-0.808184	0.104859
lcl|U00096.3_cds_AAC75209	HOST	0.4913	0.2613	0.2523	0.2143	0.198	0.023	0.427	51.07	0.38	0.514	316	328	-0.629268	0.134146
lcl|U00096.3_cds_AAC75210	HOST	0.4029	0.2427	0.4	0.2105	0.164	-0.068	0.391	48.72	0.358	0.475	458	473	-0.824524	0.12685
lcl|U00096.3_cds_AAC75211	HOST	0.3466	0.3267	0.4232	0.1191	0.182	0.089	0.482	52.39	0.368	0.539	299	307	-1.144625	0.061889
lcl|U00096.3_cds_AAC75212	HOST	0.3566	0.3112	0.3133	0.2212	0.227	0.11	0.5	50.9	0.443	0.55	314	321	-0.842679	0.084112
lcl|U00096.3_cds_AAC75213	HOST	0.4435	0.2232	0.2143	0.2846	0.251	0.158	0.508	49.67	0.419	0.555	360	376	0.090692	0.098404
lcl|U00096.3_cds_AAC75214	HOST	0.3825	0.2896	0.3793	0.1831	0.237	0.098	0.495	56.04	0.387	0.534	204	209	-0.924402	0.08134
lcl|U00096.3_cds_AAC75215	HOST	0.2894	0.2809	0.3575	0.2525	0.177	0.053	0.448	52.92	0.452	0.565	259	263	-0.356654	0.057034
lcl|U00096.3_cds_AAC75216	HOST	0.306	0.4189	0.2146	0.3033	0.406	0.349	0.628	43.39	0.576	0.528	639	663	-0.599698	0.102564
lcl|U00096.3_cds_AAC75217	HOST	0.4209	0.2698	0.2326	0.257	0.186	0.047	0.433	51.86	0.435	0.551	457	470	-0.494681	0.108511
lcl|U00096.3_cds_AAC75218	HOST	0.3785	0.255	0.2864	0.2233	0.191	0.035	0.444	58.3	0.414	0.559	266	272	-0.345221	0.077206
lcl|U00096.3_cds_AAC75219	HOST	0.2007	0.2545	0.3268	0.3699	0.15	0.007	0.389	59.1	0.538	0.547	301	328	-0.004573	0.115854
lcl|U00096.3_cds_AAC75220	HOST	0.3247	0.4329	0.244	0.2674	0.371	0.256	0.58	49.41	0.543	0.525	276	285	-0.203509	0.084211
lcl|U00096.3_cds_AAC75221	HOST	0.356	0.2589	0.3583	0.2327	0.167	0.004	0.432	57.58	0.405	0.534	338	346	-0.754046	0.112717
lcl|U00096.3_cds_AAC75222	HOST	0.4801	0.3097	0.1932	0.22	0.221	0.061	0.464	49.42	0.427	0.517	384	401	-0.601746	0.137157
lcl|U00096.3_cds_AAC75223	HOST	0.1446	0.2603	0.3532	0.4037	0.125	-0.051	0.368	52.98	0.561	0.537	269	294	0.039796	0.081633
lcl|U00096.3_cds_AAC75224	HOST	0.3817	0.2258	0.3688	0.2067	0.178	-0.005	0.409	57.64	0.36	0.473	203	205	-0.073659	0.107317
lcl|U00096.3_cds_AAC75225	HOST	0.4928	0.3043	0.2087	0.2114	0.222	0.004	0.437	49.03	0.413	0.523	380	401	-0.663342	0.149626
lcl|U00096.3_cds_AAC75226	HOST	0.3819	0.3228	0.3283	0.2193	0.184	0.001	0.442	58.42	0.432	0.516	285	293	-1.001365	0.102389
lcl|U00096.3_cds_AAC75227	HOST	0.3734	0.2946	0.3558	0.2292	0.189	0.04	0.452	51.2	0.412	0.491	279	292	-0.650685	0.113014
lcl|U00096.3_cds_AAC75228	HOST	0.3803	0.3697	0.232	0.2011	0.24	0.155	0.533	50.64	0.483	0.572	518	542	-0.82417	0.114391
lcl|U00096.3_cds_AAC75229	HOST	0.3333	0.3608	0.2398	0.2641	0.405	0.361	0.623	43.73	0.515	0.535	297	312	0.059615	0.070513
lcl|U00096.3_cds_AAC75230	HOST	0.3506	0.2987	0.3345	0.197	0.197	0.152	0.525	53	0.42	0.578	345	351	-1.296866	0.065527
lcl|U00096.3_cds_AAC75231	HOST	0.4587	0.2735	0.1849	0.2646	0.228	0.108	0.481	52.14	0.439	0.543	374	381	-0.440945	0.097113
lcl|U00096.3_cds_ABD18689	HOST	0.2286	0.3571	0.2969	0.2903	0.245	0.204	0.513	61	0.551	0.569	78	82	0.014634	0.085366
lcl|U00096.3_cds_AAC75232	HOST	0.359	0.25	0.3817	0.2205	0.144	0	0.422	59.8	0.387	0.524	173	175	-0.997714	0.102857
lcl|U00096.3_cds_AAC75233	HOST	0.3527	0.2488	0.3438	0.2433	0.177	0.039	0.448	51.52	0.41	0.54	451	459	-0.872985	0.071895
lcl|U00096.3_cds_AAC75234	HOST	0.2741	0.3667	0.2346	0.3485	0.264	0.202	0.522	44.34	0.575	0.547	318	328	-0.221951	0.045732
lcl|U00096.3_cds_AAC75235	HOST	0.2926	0.2606	0.3289	0.3778	0.177	-0.005	0.397	57.3	0.49	0.465	204	215	0.366046	0.12093
lcl|U00096.3_cds_AAC75236	HOST	0.2308	0.2692	0.3684	0.3525	0.18	-0.02	0.382	59.6	0.5	0.476	170	182	0.473077	0.104396
lcl|U00096.3_cds_AAC75237	HOST	0.1966	0.3189	0.291	0.3851	0.166	0.105	0.464	52.13	0.582	0.524	459	482	-0.095228	0.078838
lcl|U00096.3_cds_AAC75238	HOST	0.3245	0.286	0.3695	0.2161	0.182	0.068	0.454	55.25	0.418	0.532	562	570	-0.55614	0.080702
lcl|U00096.3_cds_AAC75239	HOST	0.4768	0.2351	0.2259	0.2629	0.195	0.028	0.43	50.95	0.4	0.532	330	341	-0.605279	0.108504
lcl|U00096.3_cds_AAC75240	HOST	0.4336	0.2517	0.1967	0.275	0.2	0.086	0.461	52.15	0.445	0.551	310	322	-0.219565	0.127329
lcl|U00096.3_cds_AAC75241	HOST	0.3788	0.2554	0.3213	0.2145	0.211	0.016	0.45	51.49	0.398	0.528	498	505	-0.531287	0.085149
lcl|U00096.3_cds_AAC75242	HOST	0.3605	0.314	0.3377	0.1892	0.212	0.07	0.459	59.15	0.418	0.511	98	105	-0.084762	0.104762
lcl|U00096.3_cds_AAC75243	HOST	0.2791	0.2546	0.2847	0.3383	0.152	0.04	0.417	49.94	0.504	0.55	345	373	-0.024933	0.126005
lcl|U00096.3_cds_AAC75244	HOST	0.1337	0.369	0.2426	0.4371	0.176	0.167	0.488	52.18	0.672	0.541	201	221	0.350679	0.058824
lcl|U00096.3_cds_AAC75245	HOST	0.3407	0.2319	0.3489	0.2506	0.161	0.011	0.426	52.64	0.408	0.552	537	550	-0.823455	0.081818
lcl|U00096.3_cds_AAC75246	HOST	0.3467	0.2267	0.4225	0.1714	0.131	-0.13	0.353	57.2	0.341	0.55	85	86	-1.202326	0.046512
lcl|U00096.3_cds_AAC75247	HOST	0.3493	0.2279	0.377	0.2122	0.155	0.071	0.457	46.81	0.375	0.547	304	309	-0.73657	0.071197
lcl|U00096.3_cds_AAC75248	HOST	0.1746	0.3333	0.3636	0.3148	0.109	-0.135	0.319	57.09	0.551	0.516	69	73	-0.476712	0.09589
lcl|U00096.3_cds_AAC75249	HOST	0.376	0.26	0.323	0.2389	0.202	0.037	0.437	54.88	0.412	0.537	551	561	-0.46738	0.105169
lcl|U00096.3_cds_2175_[ge	HOST	0.4022	0.2736	0.2601	0.2829	0.275	0.054	0.467	52.85	0.445	0.482	831	863	-0.2	0.076477
lcl|U00096.3_cds_AAC75252	HOST	0.1679	0.3431	0.3532	0.2869	0.159	-0.05	0.391	52.63	0.545	0.559	297	324	-0.466358	0.08642
lcl|U00096.3_cds_AAC75253	HOST	0.1394	0.3394	0.2639	0.5312	0.19	0.117	0.481	48.04	0.67	0.54	185	203	0.121675	0.1133
lcl|U00096.3_cds_AAC75254	HOST	0.3515	0.2662	0.3438	0.2218	0.201	0.062	0.466	58.65	0.41	0.561	324	331	-0.553172	0.060423
lcl|U00096.3_cds_AAC75255	HOST	0.3103	0.3241	0.1714	0.4651	0.342	0.229	0.54	41.78	0.608	0.546	176	185	-0.188108	0.097297
lcl|U00096.3_cds_AAC75256	HOST	0.4363	0.274	0.1795	0.2587	0.24	0.169	0.52	51.94	0.452	0.583	610	625	-0.10816	0.0784
lcl|U00096.3_cds_AAC75257	HOST	0.175	0.35	0.2542	0.4486	0.152	0.008	0.418	52.05	0.638	0.543	141	154	-0.083766	0.103896
lcl|U00096.3_cds_AAC75258	HOST	0.3519	0.2222	0.1667	0.4423	0.348	0.173	0.508	42.05	0.556	0.575	63	69	0.523188	0.115942
lcl|U00096.3_cds_AAC75259	HOST	0.2475	0.3384	0.2788	0.329	0.18	0.092	0.455	53.89	0.554	0.563	213	235	0.035319	0.110638
lcl|U00096.3_cds_AAC75260	HOST	0.209	0.3898	0.2463	0.3692	0.22	0.187	0.513	50.36	0.626	0.583	187	206	-0.162621	0.165049
lcl|U00096.3_cds_AAC75261	HOST	0.3184	0.2626	0.3179	0.2635	0.178	0.028	0.44	59.31	0.45	0.575	191	197	-0.817259	0.071066
lcl|U00096.3_cds_AAC75262	HOST	0.3161	0.2194	0.413	0.2667	0.198	0.011	0.426	58.98	0.398	0.55	176	183	-0.670492	0.098361
lcl|U00096.3_cds_AAC75263	HOST	0.1833	0.3333	0.2821	0.3679	0.115	-0.043	0.373	52.54	0.59	0.572	134	144	-0.265972	0.076389
lcl|U00096.3_cds_AAC75264	HOST	0.4091	0.2273	0.2028	0.3366	0.219	0.144	0.5	53.43	0.466	0.572	266	276	-0.373913	0.065217
lcl|U00096.3_cds_AAC75265	HOST	0.2764	0.2764	0.2888	0.2951	0.156	0.096	0.468	56.56	0.5	0.604	218	224	-0.499554	0.035714
lcl|U00096.3_cds_AAC75266	HOST	0.3016	0.2771	0.3669	0.217	0.16	0.055	0.446	54.42	0.425	0.58	776	792	-0.803662	0.060606
lcl|U00096.3_cds_AAC75267	HOST	0.1719	0.3125	0.2656	0.4762	0.197	0.008	0.436	53.57	0.641	0.556	78	84	-0.736905	0.130952
lcl|U00096.3_cds_AAC75268	HOST	0.2752	0.2886	0.2574	0.3095	0.16	-0.054	0.367	61	0.519	0.557	158	164	0.160366	0.060976
lcl|U00096.3_cds_AAC75269	HOST	0.3435	0.2824	0.4262	0.1681	0.179	0.073	0.468	57.37	0.37	0.506	154	156	-0.935897	0.064103
lcl|U00096.3_cds_AAC75270	HOST	0.337	0.2952	0.3554	0.202	0.205	0.102	0.486	55.29	0.418	0.559	512	523	-0.763862	0.08413
lcl|U00096.3_cds_AAC75271	HOST	0.1943	0.3422	0.294	0.3626	0.163	0.066	0.445	54.91	0.586	0.546	483	526	-0.005893	0.102662
lcl|U00096.3_cds_AAC75272	HOST	0.2337	0.3641	0.2222	0.3955	0.186	0.135	0.477	58.04	0.609	0.535	197	212	0.011793	0.108491
lcl|U00096.3_cds_AAC75273	HOST	0.1862	0.3483	0.2519	0.3959	0.223	0.184	0.514	52.46	0.625	0.583	317	342	-0.226024	0.096491
lcl|U00096.3_cds_AAC75274	HOST	0.1661	0.3105	0.3008	0.4132	0.16	0.088	0.452	53.02	0.596	0.546	312	338	-0.368343	0.10355
lcl|U00096.3_cds_AAC75275	HOST	0.3452	0.4903	0.2033	0.2119	0.82	0.775	0.875	29.03	0.563	0.508	359	367	-0.533243	0.141689
lcl|U00096.3_cds_AAC75276	HOST	0.3843	0.2534	0.379	0.196	0.185	-0.011	0.423	53.7	0.37	0.515	816	829	-0.738842	0.08082
lcl|U00096.3_cds_AAC75277	HOST	0.1617	0.2754	0.3625	0.3784	0.117	-0.093	0.342	54.44	0.545	0.498	187	198	0.022222	0.060606
lcl|U00096.3_cds_AAC75278	HOST	0.3166	0.3012	0.205	0.4271	0.27	0.146	0.491	48.01	0.568	0.509	912	949	-0.107903	0.074816
lcl|U00096.3_cds_AAC75279	HOST	0.3948	0.2579	0.3552	0.226	0.173	-0.061	0.399	53.45	0.39	0.503	557	573	-1.046597	0.108202
lcl|U00096.3_cds_AAC75280	HOST	0.3876	0.2326	0.3654	0.2433	0.167	-0.045	0.41	49.93	0.382	0.508	427	434	-1.012903	0.087558
lcl|U00096.3_cds_AAC75281	HOST	0.3989	0.2713	0.2867	0.2388	0.153	-0.02	0.417	56.53	0.417	0.554	199	210	-1.370476	0.104762
lcl|U00096.3_cds_AAC75282	HOST	0.371	0.2742	0.2958	0.2643	0.177	-0.001	0.437	52.1	0.442	0.55	199	206	-0.936408	0.121359
lcl|U00096.3_cds_AAC75283	HOST	0.4602	0.2931	0.1993	0.24	0.239	0.092	0.478	49.92	0.433	0.54	416	428	-0.674065	0.109813
lcl|U00096.3_cds_AAC75284	HOST	0.3529	0.3344	0.2717	0.2364	0.192	0.082	0.485	49.75	0.476	0.557	355	367	-0.975749	0.100817
